========================================================================
  PRESSCO21 품절/미진열 상품 리포트 (수정본)
  생성일: 2026-04-03
  판별 기준: options.basic[].sto_state_code = SOLDOUT/STOP
========================================================================

  ■ 진열중 전체 상품:  4,693개
  ■ 판매중 (SALE):     4,271개
  ■ 실제 품절:           422개  ← 이 리스트
    - 개인결제건:          1개 (무시)
    - 일반 상품:           421개 ← 확인 필요

========================================================================
  [품절 상품 — 대분류별]
  → 잘못 품절된 상품은 라이브 전환하세요!
========================================================================

▶ 기타 — 47개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
     1154282      2,400원  미니목걸이/아이러브원하트 [강사공간]
     1154276      2,400원  미니목걸이/구두큐빅 [강사공간]
      359115      2,400원  조개껍질모음/170g [강사공간]
      355832      2,400원  [레진공예] 귀걸이/컵형포스트/실버/실리콘클러치/10세트/6mm [강사공간]
     1154363      2,250원  마스크스트랩/체인/아크릴 [강사공간]
      356510      1,600원  [레진공예] 유리돔/정사각/10개/4종(각 12,15,20,25mm) [강사공간]
     1155920      1,350원  실리콘매트/사이즈선택 [강사공간]
     1151991      1,200원  비즈/알갱이/보라 [강사공간]
     1151992      1,200원  비즈/알갱이/분홍 [강사공간]
     1151993      1,200원  비즈/알갱이/빨강 [강사공간]
     1151994      1,200원  비즈/알갱이/아이보리 [강사공간]
     1151995      1,200원  비즈/알갱이/연보라 [강사공간]
     1151996      1,200원  비즈/알갱이/연분홍 [강사공간]
     1151997      1,200원  비즈/알갱이/초록 [강사공간]
     1151998      1,200원  비즈/알갱이/투명 [강사공간]
     1151999      1,200원  비즈/알갱이/파랑 [강사공간]
     1152000      1,200원  비즈/알갱이/하늘색 [강사공간]
      359656        960원  [레진아트] 유리볼+꼭지캡세트/신주 [강사공간]
      359659        800원  꼬리체인/10개 [강사공간]
     1152093        640원  수평계 [강사공간]
      354789        320원  [레진공예]에펠탑 [강사공간]
      354875        240원  [레진공예]물고기 [강사공간]
      354870        240원  [레진공예]잠자리 [강사공간]
      355140        160원  [레진공예]스페이드열쇠/1540 [강사공간]
      355073        160원  [레진공예]스페이드열쇠/1540 [강사공간]
