prdNo,prdNm,sellerPrdCd,selStatCd,selStatNm,selPrc,cuponcheck,dscAmtPercnt,cupnDscMthdCd,cupnUseLmtDyYn,cupnIssEndDy,estimated_discounted_price
8236634380,프레스코21 압화 만들기 천전용필름지 90cm,,103,판매중,12000,Y,2000,01,Y,9999-12-31 23:59:59.0,10000
8236624890,카네이션 브로치 만들기 어버이날 스승의날 선물 프레스코21 프리저브드 카네이션,1035,103,판매중,8000,Y,2000,01,Y,9999-12-31 23:59:59.0,6000
8236623065,프레스코21 레진 공예 UV컬러레진 세피아 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236634045,프레스코21 12x17 포토미니액자 스텐실 벽걸이 탁상 그림 액자 인테리어소품 압화 만들기 재료,1014,103,판매중,4000,Y,1000,01,Y,9999-12-31 23:59:59.0,3000
8236633922,프레스코21 우드 나무 코스터 컵받침 원형,1275,103,판매중,2000,Y,500,01,Y,9999-12-31 23:59:59.0,1500
8236624329,프레스코21 레진 공예 UV컬러레진 하치미즈 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236624346,프레스코21 압화 고급 일본산 흰나비잔디,,103,판매중,22000,Y,2000,01,Y,9999-12-31 23:59:59.0,20000
8236636263,프레스코21 압화 나무필통 만들기세트 직사각,1014,103,판매중,6000,Y,500,01,Y,9999-12-31 23:59:59.0,5500
8236636460,프레스코21 레진 공예 실리콘 몰드 타원 미니쟁반 트레이,,103,판매중,6500,Y,1000,01,Y,9999-12-31 23:59:59.0,5500
8236626376,프레스코21 압화 압화꽃 꽃송이 누름꽃 조화 만들기 압화재료 공예 대만종합팩 01403,,103,판매중,5800,Y,30,02,Y,9999-12-31 23:59:59.0,4060
8236625908,프레스코21 레진공예 몰드/나비,,103,판매중,1200,N,,,N,,
8236638190,프레스코21 레진 공예 실리콘 몰드 미니 보석함,,103,판매중,11000,Y,2400,01,Y,9999-12-31 23:59:59.0,8600
8236637112,프레스코21 레진 공예 실리콘 몰드 컵받침세트 코스터 압화 만들기,,103,판매중,6500,Y,1500,01,Y,9999-12-31 23:59:59.0,5000
8236637295,프레스코21 압화건조매트 L6 풀세트 국내산,,103,판매중,72000,Y,3300,01,Y,9999-12-31 23:59:59.0,68700
8236637160,프레스코21 압화건조매트 압화 도구 M6 풀세트 국내산,,103,판매중,50000,Y,6300,01,Y,9999-12-31 23:59:59.0,43700
8236637213,프레스코21 압화 만들기 냉장고 자석 클립 흰색,,103,판매중,2500,Y,1500,01,Y,9999-12-31 23:59:59.0,1000
8236637393,프레스코21 압화 만들기 손톱깎이(병따개 겸용),,103,판매중,5000,Y,1400,01,Y,9999-12-31 23:59:59.0,3600
8236636875,프레스코21 압화 만들기 LED 천스탠드 원형,,103,판매중,19000,Y,3000,01,Y,9999-12-31 23:59:59.0,16000
8236636606,프레스코21 압화 만들기 플라스틱필통 투명,,103,판매중,2500,Y,1500,01,Y,9999-12-31 23:59:59.0,1000
8236636722,프레스코21 레진 공예 실리콘 몰드 컵받침 5종,,103,판매중,6500,Y,1000,01,Y,9999-12-31 23:59:59.0,5500
8236636025,프레스코21 압화 만들기 스마트폰 거치대,,103,판매중,2500,Y,1000,01,Y,9999-12-31 23:59:59.0,1500
8236636145,프레스코21 압화 노트 만들기세트,,103,판매중,4500,Y,600,01,Y,9999-12-31 23:59:59.0,3900
8236636153,프레스코21 압화 만들기 26원형시계,,103,판매중,8500,Y,1500,01,Y,9999-12-31 23:59:59.0,7000
8236635851,프레스코21 압화 만들기 연필꽂이 만들기세트,,103,판매중,3500,Y,1000,01,Y,9999-12-31 23:59:59.0,2500
8236635390,프레스코21 압화 만들기 미니 쇼핑백 가방 투명 PVC,,103,판매중,2000,Y,1500,01,Y,9999-12-31 23:59:59.0,500
8236635330,프레스코21 초정밀저울 정밀저울 2종,1293,103,판매중,7000,Y,2000,01,Y,9999-12-31 23:59:59.0,5000
8236624860,프레스코21 레진 공예 UV컬러레진 카라멜 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236624477,프레스코21 압화 고급 일본산 올라야,,103,판매중,22000,Y,2000,01,Y,9999-12-31 23:59:59.0,20000
8236624497,프레스코21 레진 공예 UV컬러레진 다크블루 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236623320,프레스코21 레진 공예 UV컬러레진 올드핑크 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236623369,프레스코21 압화 메쉬천 10매 L사이즈 흰색 국내산,,103,판매중,7500,Y,1000,01,Y,9999-12-31 23:59:59.0,6500
8236627563,프레스코21 압화 열쇠고리만들기/사각,,103,판매중,1600,N,,,N,,
8236633303,프레스코21 33x40 프레임 엔틱골드(36액자),1014,103,판매중,45000,Y,10000,01,Y,9999-12-31 23:59:59.0,35000
8236624662,프레스코21 레진 공예 UV컬러레진 클리어스카이블루 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236633404,카네이션 압화 어버이날 꽃송이 압화꽃 조화 압화공예 누름꽃 프레스코21,,103,판매중,5500,Y,2500,01,Y,9999-12-31 23:59:59.0,3000
8236625036,프레스코21 레진 공예 UV컬러레진 밀키블루 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236626576,프레스코21 레진 공예 플루이드아트 원목 쟁반 트레이 사각형 국내산,1014,103,판매중,26000,Y,3000,01,Y,9999-12-31 23:59:59.0,23000
8236623445,프레스코21 레진 공예 UV컬러레진 밀키퍼플 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236624434,프레스코21 전자레인지 압화건조매트 마이크로플레르,,103,판매중,60000,Y,15000,01,Y,9999-12-31 23:59:59.0,45000
8236623560,프레스코21 압화 가격대별 일반종합팩 모음전,,103,판매중,3700,Y,700,01,Y,9999-12-31 23:59:59.0,3000
8236623567,프레스코21 레진 공예 UV컬러레진 밀키핑크 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
8236625358,프레스코21 레진 공예 UV컬러레진 클리어네이비블루 25g,,103,판매중,14000,Y,5000,01,Y,9999-12-31 23:59:59.0,9000
